1	0.000576368876081, 2.0, 9.0, 0.0, 1.0, 0.0, 0.18386167147, 0.18386167147
1	0.000576368876081, 2.0, 6.0, 0.0, 0.666666666667, 0.0, 0.495100864553, 0.495100864553
1	0.00172910662824, 1.0, 8.0, 0.578097982709, 0.0, 0.0, 0.0951008645533, 0.673198847262
1	0.000576368876081, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0484149855908, 0.0484149855908
1	0.000576368876081, 1.0, 8.0, 0.0, 0.0, 0.0, 0.939481268012, 0.939481268012
1	0.000576368876081, 1.0, 12.0, 0.0, 0.0, 0.0, 0.857636887608, 0.857636887608
1	0.000576368876081, 1.0, 5.0, 0.0, 0.0, 0.0, 0.519308357349, 0.519308357349
1	0.00230547550432, 1.0, 9.0, 0.529682997118, 0.0, 0.0, 0.0582132564841, 0.587896253602
1	0.000576368876081, 1.0, 5.0, 0.0, 0.0, 0.0, 0.464553314121, 0.464553314121
1	0.000576368876081, 2.0, 5.0, 0.0, 2.0, 1.0, 0.776945244957, 0.776945244957
1	0.000576368876081, 1.0, 8.0, 0.0, 0.0, 0.0, 0.956195965418, 0.956195965418
1	0.000576368876081, 2.0, 8.0, 0.0, 0.4, 0.0, 0.0904899135447, 0.0904899135447
1	0.00115273775216, 1.0, 8.0, 0.135446685879, 0.0, 0.0, 0.0299711815562, 0.165417867435
1	0.00230547550432, 1.0, 7.0, 0.476080691643, 0.0, 1.0, 0.00403458213256, 0.480115273775
1	0.000576368876081, 1.0, 7.0, 0.0, 0.0, 0.0, 0.408645533141, 0.408645533141
1	0.000576368876081, 2.0, 5.0, 0.0, 1.0, 0.0, 0.519308357349, 0.519308357349
1	0.000576368876081, 2.0, 5.0, 0.0, 0.0, 0.0, 0.247262247839, 0.247262247839
1	0.00115273775216, 2.0, 8.0, 0.135446685879, 1.73470666089, 0.0, 0.0299711815562, 0.165417867435
1	0.000576368876081, 1.0, 7.0, 0.0, 0.0, 0.0, 0.696829971182, 0.696829971182
1	0.000576368876081, 1.0, 8.0, 0.0, 0.0, 0.0, 0.918731988473, 0.918731988473
1	0.000576368876081, 1.0, 4.0, 0.0, 0.0, 0.0, 0.450720461095, 0.450720461095
1	0.000576368876081, 2.0, 10.0, 0.0, 2.0, 0.0, 0.259365994236, 0.259365994236
1	0.00115273775216, 1.0, 5.0, 0.186167146974, 0.0, 0.0, 0.504322766571, 0.690489913545
1	0.000576368876081, 1.0, 8.0, 0.0, 0.0, 0.0, 0.303746397695, 0.303746397695
1	0.000576368876081, 2.0, 8.0, 0.0, 0.0, 0.0, 0.833429394813, 0.833429394813
1	0.000576368876081, 2.0, 5.0, 0.0, 0.666666666667, 0.0, 0.28530259366, 0.28530259366
1	0.000576368876081, 1.0, 8.0, 0.0, 0.0, 0.0, 0.310662824207, 0.310662824207
1	0.000576368876081, 1.0, 9.0, 0.0, 0.0, 0.0, 0.979827089337, 0.979827089337
1	0.000576368876081, 1.0, 11.0, 0.0, 0.0, 0.0, 0.510086455331, 0.510086455331
1	0.00115273775216, 1.0, 6.0, 0.265706051873, 0.0, 0.0, 0.231700288184, 0.497406340058
1	0.000576368876081, 1.0, 9.0, 0.0, 0.0, 0.0, 0.727377521614, 0.727377521614
1	0.000576368876081, 2.0, 7.0, 0.0, 1.0, 0.0, 0.333717579251, 0.333717579251
1	0.000576368876081, 1.0, 6.0, 0.0, 0.0, 0.0, 0.963688760807, 0.963688760807
1	0.000576368876081, 2.0, 8.0, 0.0, 2.0, 1.0, 0.564265129683, 0.564265129683
